Etapa,Year,Month,Block
1019,2030,1,11
1020,2030,1,12
1021,2030,2,1
1022,2030,2,2
1023,2030,2,3
1024,2030,2,4
1025,2030,2,5
1026,2030,2,6
1027,2030,2,7
1028,2030,2,8
1029,2030,2,9
1030,2030,2,10
1031,2030,2,11
1032,2030,2,12
1033,2030,3,1
1034,2030,3,2
1035,2030,3,3
1036,2030,3,4
1037,2030,3,5
1038,2030,3,6
1039,2030,3,7
1040,2030,3,8
1041,2030,3,9
1042,2030,3,10
1043,2030,3,11
1044,2030,3,12
1045,2030,4,1
1046,2030,4,2
1047,2030,4,3
1048,2030,4,4
1049,2030,4,5
1050,2030,4,6
1051,2030,4,7
1052,2030,4,8
1053,2030,4,9
1054,2030,4,10
1055,2030,4,11
1056,2030,4,12
1057,2030,5,1
1058,2030,5,2
1059,2030,5,3
1060,2030,5,4
1061,2030,5,5
1062,2030,5,6
1063,2030,5,7
1064,2030,5,8
1065,2030,5,9
1066,2030,5,10
1067,2030,5,11
1068,2030,5,12
1069,2030,6,1
1070,2030,6,2
1071,2030,6,3
1072,2030,6,4
1073,2030,6,5
1074,2030,6,6
1075,2030,6,7
1076,2030,6,8
1077,2030,6,9
1078,2030,6,10
1079,2030,6,11
1080,2030,6,12
1081,2030,7,1
1082,2030,7,2
1083,2030,7,3
1084,2030,7,4
1085,2030,7,5
1086,2030,7,6
1087,2030,7,7
1088,2030,7,8
1089,2030,7,9
1090,2030,7,10
1091,2030,7,11
1092,2030,7,12
1093,2030,8,1
1094,2030,8,2
1095,2030,8,3
1096,2030,8,4
1097,2030,8,5
1098,2030,8,6
1099,2030,8,7
1100,2030,8,8
1101,2030,8,9
1102,2030,8,10
1103,2030,8,11
1104,2030,8,12
1105,2030,9,1
1106,2030,9,2
1107,2030,9,3
1108,2030,9,4
1109,2030,9,5
1110,2030,9,6
1111,2030,9,7
1112,2030,9,8
1113,2030,9,9
1114,2030,9,10
1115,2030,9,11
1116,2030,9,12
1117,2030,10,1
1118,2030,10,2
1119,2030,10,3
1120,2030,10,4
1121,2030,10,5
1122,2030,10,6
1123,2030,10,7
1124,2030,10,8
1125,2030,10,9
1126,2030,10,10
1127,2030,10,11
1128,2030,10,12
1129,2030,11,1
1130,2030,11,2
1131,2030,11,3
1132,2030,11,4
1133,2030,11,5
1134,2030,11,6
1135,2030,11,7
1136,2030,11,8
1137,2030,11,9
1138,2030,11,10
1139,2030,11,11
1140,2030,11,12
1141,2030,12,1
1142,2030,12,2
1143,2030,12,3
1144,2030,12,4
1145,2030,12,5
1146,2030,12,6
1147,2030,12,7
1148,2030,12,8
1149,2030,12,9
1150,2030,12,10
1151,2030,12,11
1152,2030,12,12
1153,2031,1,1
1154,2031,1,2
1155,2031,1,3
1156,2031,1,4
1157,2031,1,5
1158,2031,1,6
1159,2031,1,7
1160,2031,1,8
1161,2031,1,9
1162,2031,1,10
1163,2031,1,11
1164,2031,1,12
1165,2031,2,1
1166,2031,2,2
1167,2031,2,3
1168,2031,2,4
1169,2031,2,5
1170,2031,2,6
1171,2031,2,7
1172,2031,2,8
1173,2031,2,9
1174,2031,2,10
1175,2031,2,11
1176,2031,2,12
1177,2031,3,1
1178,2031,3,2
1179,2031,3,3
1180,2031,3,4
1181,2031,3,5
1182,2031,3,6
1183,2031,3,7
1184,2031,3,8
1185,2031,3,9
1186,2031,3,10
1187,2031,3,11
1188,2031,3,12
1189,2031,4,1
1190,2031,4,2
1191,2031,4,3
1192,2031,4,4
1193,2031,4,5
1194,2031,4,6
1195,2031,4,7
1196,2031,4,8
1197,2031,4,9
1198,2031,4,10
1199,2031,4,11
1200,2031,4,12
1201,2031,5,1
1202,2031,5,2
1203,2031,5,3
1204,2031,5,4
1205,2031,5,5
1206,2031,5,6
1207,2031,5,7
1208,2031,5,8
1209,2031,5,9
1210,2031,5,10
1211,2031,5,11
1212,2031,5,12
1213,2031,6,1
1214,2031,6,2
1215,2031,6,3
1216,2031,6,4
1217,2031,6,5
1218,2031,6,6
1219,2031,6,7
1220,2031,6,8
1221,2031,6,9
1222,2031,6,10
1223,2031,6,11
1224,2031,6,12
1225,2031,7,1
1226,2031,7,2
1227,2031,7,3
1228,2031,7,4
1229,2031,7,5
1230,2031,7,6
1231,2031,7,7
1232,2031,7,8
1233,2031,7,9
1234,2031,7,10
1235,2031,7,11
1236,2031,7,12
1237,2031,8,1
1238,2031,8,2
1239,2031,8,3
1240,2031,8,4
1241,2031,8,5
1242,2031,8,6
1243,2031,8,7
1244,2031,8,8
1245,2031,8,9
1246,2031,8,10
1247,2031,8,11
1248,2031,8,12
1249,2031,9,1
1250,2031,9,2
1251,2031,9,3
1252,2031,9,4
1253,2031,9,5
1254,2031,9,6
1255,2031,9,7
1256,2031,9,8
1257,2031,9,9
1258,2031,9,10
1259,2031,9,11
1260,2031,9,12
1261,2031,10,1
1262,2031,10,2
1263,2031,10,3
1264,2031,10,4
1265,2031,10,5
1266,2031,10,6
1267,2031,10,7
1268,2031,10,8
1269,2031,10,9
1270,2031,10,10
1271,2031,10,11
1272,2031,10,12
1273,2031,11,1
1274,2031,11,2
1275,2031,11,3
1276,2031,11,4
1277,2031,11,5
1278,2031,11,6
1279,2031,11,7
1280,2031,11,8
1281,2031,11,9
1282,2031,11,10
1283,2031,11,11
1284,2031,11,12
1285,2031,12,1
1286,2031,12,2
1287,2031,12,3
1288,2031,12,4
1289,2031,12,5
1290,2031,12,6
1291,2031,12,7
1292,2031,12,8
1293,2031,12,9
1294,2031,12,10
1295,2031,12,11
1296,2031,12,12
1297,2032,1,1
1298,2032,1,2
1299,2032,1,3
1300,2032,1,4
1301,2032,1,5
1302,2032,1,6
1303,2032,1,7
1304,2032,1,8
1305,2032,1,9
1306,2032,1,10
1307,2032,1,11
1308,2032,1,12
1309,2032,2,1
1310,2032,2,2
1311,2032,2,3
1312,2032,2,4
1313,2032,2,5
1314,2032,2,6
1315,2032,2,7
1316,2032,2,8
1317,2032,2,9
1318,2032,2,10
1319,2032,2,11
1320,2032,2,12
1321,2032,3,1
1322,2032,3,2
1323,2032,3,3
1324,2032,3,4
1325,2032,3,5
1326,2032,3,6
1327,2032,3,7
